engine,policy_state,series_id,series_label,row_type,june_year,value,value_unit,official_value,movement_vs_origin_main
ensemble,cur-published__off-published,gross_ped_revenue,PED revenue,official_comparator,2050,1171.50816887837,$m nominal ex GST,1171.50816887837,0
ensemble,cur-published__off-published,gross_ped_revenue,PED revenue,official_comparator,2050,1171.5863032867,$m nominal ex GST,1171.5863032867,0
ensemble,cur-published__off-published,heavy_ruc_net_revenue,Heavy RUC revenue,future_forecast,2026,1134.1059888764494,$m nominal ex GST,1144.54055343658,0
ensemble,cur-published__off-published,heavy_ruc_net_revenue,Heavy RUC revenue,future_forecast,2026,1134.4796007193393,$m nominal ex GST,1144.54055343658,0
ensemble,cur-published__off-published,heavy_ruc_net_revenue,Heavy RUC revenue,future_forecast,2026,1123.432467523277,$m nominal ex GST,1144.54055343658,0
ensemble,cur-published__off-published,heavy_ruc_net_revenue,Heavy RUC revenue,future_forecast,2030,1561.9346558206582,$m nominal ex GST,1655.80221986912,0
ensemble,cur-published__off-published,heavy_ruc_net_revenue,Heavy RUC revenue,future_forecast,2030,1563.9596216233617,$m nominal ex GST,1655.80221986912,0
ensemble,cur-published__off-published,heavy_ruc_net_revenue,Heavy RUC revenue,future_forecast,2030,1557.290827152943,$m nominal ex GST,1655.80221986912,0
ensemble,cur-published__off-published,heavy_ruc_net_revenue,Heavy RUC revenue,future_forecast,2031,1642.9965761252706,$m nominal ex GST,1655.80221986912,0
ensemble,cur-published__off-published,heavy_ruc_net_revenue,Heavy RUC revenue,future_forecast,2031,1646.1718082660163,$m nominal ex GST,1655.80221986912,0
ensemble,cur-published__off-published,heavy_ruc_net_revenue,Heavy RUC revenue,future_forecast,2050,2380.597921237581,$m nominal ex GST,1655.80221986912,0
ensemble,cur-published__off-published,heavy_ruc_net_revenue,Heavy RUC revenue,future_forecast,2050,2383.684240734065,$m nominal ex GST,1655.80221986912,0
ensemble,cur-published__off-published,heavy_ruc_net_revenue,Heavy RUC revenue,official_comparator,2026,1146.5048086003,$m nominal ex GST,1146.5048086003,0
