baseline_source,scenario_name,scenario_role,time_grain,series_id,period,fed_path,row_type,trace_name,value,source_path,period_fy
incumbent_chart_rows,current_comparison_1,comparison,quarterly,ped_vkt_per_capita,2027Q4,Current planned path,future_forecast,Current finalist comparison behavioural path,1545.2370164867075,,
incumbent_chart_rows,current_basecase,basecase,quarterly,ped_vkt_per_capita,2028Q1,Current planned path,future_forecast,Current finalist Base case,1532.9252976404523,,
incumbent_chart_rows,current_comparison_1,comparison,quarterly,ped_vkt_per_capita,2028Q1,Current planned path,future_forecast,Current finalist comparison behavioural path,1531.31756692736,,
incumbent_chart_rows,current_basecase,basecase,quarterly,ped_vkt_per_capita,2028Q2,Current planned path,future_forecast,Current finalist Base case,1527.1988871945018,,
incumbent_chart_rows,current_comparison_1,comparison,quarterly,ped_vkt_per_capita,2028Q2,Current planned path,future_forecast,Current finalist comparison behavioural path,1525.3408380979813,,
incumbent_chart_rows,current_basecase,basecase,quarterly,ped_vkt_per_capita,2028Q3,Current planned path,future_forecast,Current finalist Base case,1532.9817988397829,,
incumbent_chart_rows,current_comparison_1,comparison,quarterly,ped_vkt_per_capita,2028Q3,Current planned path,future_forecast,Current finalist comparison behavioural path,1530.9014296608525,,
incumbent_chart_rows,current_basecase,basecase,quarterly,ped_vkt_per_capita,2028Q4,Current planned path,future_forecast,Current finalist Base case,1546.3376916124976,,
incumbent_chart_rows,current_comparison_1,comparison,quarterly,ped_vkt_per_capita,2028Q4,Current planned path,future_forecast,Current finalist comparison behavioural path,1544.0468544800913,,
incumbent_chart_rows,current_basecase,basecase,quarterly,ped_vkt_per_capita,2029Q1,Current planned path,future_forecast,Current finalist Base case,1532.0090305007263,,
incumbent_chart_rows,current_comparison_1,comparison,quarterly,ped_vkt_per_capita,2029Q1,Current planned path,future_forecast,Current finalist comparison behavioural path,1529.591974816392,,
incumbent_chart_rows,current_basecase,basecase,quarterly,ped_vkt_per_capita,2029Q2,Current planned path,future_forecast,Current finalist Base case,1522.1807725201995,,
incumbent_chart_rows,current_comparison_1,comparison,quarterly,ped_vkt_per_capita,2029Q2,Current planned path,future_forecast,Current finalist comparison behavioural path,1519.7474286649638,,
incumbent_chart_rows,current_basecase,basecase,quarterly,ped_vkt_per_capita,2029Q3,Current planned path,future_forecast,Current finalist Base case,1527.7729389588642,,
incumbent_chart_rows,current_comparison_1,comparison,quarterly,ped_vkt_per_capita,2029Q3,Current planned path,future_forecast,Current finalist comparison behavioural path,1525.1890442644317,,
incumbent_chart_rows,current_basecase,basecase,quarterly,ped_vkt_per_capita,2029Q4,Current planned path,future_forecast,Current finalist Base case,1540.3025977253524,,
incumbent_chart_rows,current_comparison_1,comparison,quarterly,ped_vkt_per_capita,2029Q4,Current planned path,future_forecast,Current finalist comparison behavioural path,1537.55379489924,,
